ano;gas_natural;lenha;gas_liquefeito_de_petroleo;querosene;gas_canalizado;eletricidade
1970;0;19070,388792;1297,40621445378;447,380478165138;104,218296;719,390000000
1971;0;19058,303628;1393,23735529412;419,521620550459;105,947604;793,608000000
1972;0;18998,187684;1526,54092941177;427,715402201835;106,397424;854,152000000
1973;0;18593,489628;1677,65926689076;466,226175963303;109,716096;940,721560800
1974;0;18376,886304;1775,33331428571;403,953435412844;116,353440;1033,720000000
1975;0;17939,341392;1821,40597815126;381,010846788991;124,370232;1136,060000000
1976;0;17457,174336;2001,39651831933;380,191468623853;128,208696;1279,422000000
1977;0;16635,383184;2076,95568705882;378,552712293578;123,790464;1473,438000000
1978;0;15647,808372;2298,71877579832;365,442661651376;126,799260;1629,356000000
1979;0;15332,974356;2543,21104537815;369,539552477064;130,117932;1807,720000000
1980;0;14973,828072;2728,12736000000;296,494380000000;128,218692;2000,618000000
1981;0;14366,780988;2954,34591755725;264,625920000000;134,026368;2154,472000000
1982;0;12542,540976;3354,15411297710;244,557360000000;139,174308;2328,106000000
1983;0;11585,334012;3489,52213657289;216,982946606335;144,672108;2557,296000000
1984;0;11805,345972;3460,42730946292;201,995674208145;99,140328;2659,636000000
1985;0;10763,542860;3778,05892787724;189,964950000000;151,859232;2806,524000000
1986;0;9668,131200;4048,08869755102;176,151240000000;146,471388;3074,930000000
1987;1;10179,426600;4273,12551724138;165,051267808837;151,209492;3300,594000000
1988;0;9559,054848;4594,68430284255;161,822955891892;152,628924;3485,924000000
1989;2;8904,286860;4837,18208593350;148,412315675676;153,638520;3760,608000000
1990;4;7959,784812;4988,00358168511;128,195976627592;144,242280;4185,276000000
1991;5;7927,557708;5131,02877399149;124,866211000902;147,730884;4389,182000000
1992;5;7945,840392;5360,36227200000;102,390293020739;137,984784;4460,390000000
1993;18;6941,842152;5570,58464517447;91,568554733995;133,256676;4612,094000000
1994;26;6741,662256;5612,50582222979;78,249492227232;95,201904;4811,872000000
1995;46;6107,655960;5887,45942468085;70,757519567178;80,507784;5467,966000000
1996;63;5987,424072;6143,91839019574;53,276250027051;78,188712;5938,816000000
1997;71;6061,794312;6176,59224878298;30,800332046889;71,411424;6370,106000000
1998;77;6213,633552;6202,41050000000;28,924315000000;71,411424;6826,508000000
1999;69;6421,250472;6331,80625000000;36,972000000000;65,333856;6991,026000000
2000;100;6569,990952;6325,16720000000;36,150400000000;59,636136;7190,718000000
2001;123;6857,246004;6330,27450000000;53,404000000000;25,069968;6344,220000000
2002;136;7677,770000;6111,83300000000;52,608000000000;22,096620;6256,672000000
2003;172;7964,210000;5709,79500000000;13,974000000000;0,000000;6548,298000000
2004;181;8073,640000;5828,32900000000;13,152000000000;0,000000;6757,622000000
2005;191;8234,976400;5712,66227858182;16,733591274000;0,000000;7154,598000000
2006;207;8276,070000;5709,79500000000;14,796000000000;0,000000;7379,660000000
2007;221;7812,000000;5896,15000000000;9,452364529585;0,000000;7815,794638000
2008;229;7705,670000;6042,79000000000;9,042000000000;0,000000;8220,309805382
2009;238;7528,874920;6114,93611902727;8,220000000000;0,000000;8654,868000000
2010;255;7276,000000;6297,57700000000;4,178551101000;0,000000;9220,461620000
2011;280;6505,040000;6364,27065629710;5,331005376000;0,000000;9629,477276000
2012;296;6472,422265;6393,25969740580;4,508492448000;0,000000;10117,543059580
2013;321;5741,425013;6521,09770997051;3,808409844000;0,000000;10741,015342640
2014;310;6108,583549;6535,08991868840;3,020362554000;0,000000;11377,959100000
2015;312;6333,623714;6541,26284615399;2,550316650000;0,000000;11282,988612562
2016;357;6063,885026;6573,08465150906;2,140925304000;0,000000;11428,943213602
2017;379;6486,026141;6605,98873156884;2,072940972000;0,000000;11561,807010273
2018;405;7247,486445;6531,11630675362;2,114595000000;0,000000;11851,676107235
2019;408;7079,900803;6498,80086320833;1,877691312000;0,000000;12302,582472875
2020;444;7207,935738;6739,95136375543;1,595666400000;0,000000;12800,645771416
2021;456;7440,674334;6521,84206615217;1,662823800000;0,000000;12940,695851264
