TRIMESTRE;NM_REGIAO;TX_DESOCUPACAO
20121;Norte;9,0
20121;Nordeste;9,8
20121;Sudeste;8,0
20121;Sul;5,2
20121;Centro-Oeste;7,1
20122;Norte;8,3
20122;Nordeste;9,7
20122;Sudeste;7,5
20122;Sul;4,9
20122;Centro-Oeste;6,3
20123;Norte;7,9
20123;Nordeste;9,4
20123;Sudeste;6,9
20123;Sul;4,3
20123;Centro-Oeste;5,7
20124;Norte;7,4
20124;Nordeste;9,4
20124;Sudeste;6,7
20124;Sul;4,0
20124;Centro-Oeste;5,8
20131;Norte;8,7
20131;Nordeste;11,1
20131;Sudeste;7,7
20131;Sul;4,8
20131;Centro-Oeste;6,8
20132;Norte;8,4
20132;Nordeste;10,1
20132;Sudeste;7,3
20132;Sul;4,3
20132;Centro-Oeste;6,0
20133;Norte;7,6
20133;Nordeste;9,1
20133;Sudeste;7,1
20133;Sul;4,2
20133;Centro-Oeste;5,6
20134;Norte;6,6
20134;Nordeste;8,0
20134;Sudeste;6,3
20134;Sul;3,9
20134;Centro-Oeste;4,9
20141;Norte;7,9
20141;Nordeste;9,4
20141;Sudeste;7,1
20141;Sul;4,4
20141;Centro-Oeste;5,9
20142;Norte;7,4
20142;Nordeste;8,9
20142;Sudeste;7,0
20142;Sul;4,2
20142;Centro-Oeste;5,6
20143;Norte;7,0
20143;Nordeste;8,7
20143;Sudeste;7,0
20143;Sul;4,3
20143;Centro-Oeste;5,5
20144;Norte;6,9
20144;Nordeste;8,3
20144;Sudeste;6,7
20144;Sul;3,8
20144;Centro-Oeste;5,4
20151;Norte;8,8
20151;Nordeste;9,7
20151;Sudeste;8,1
20151;Sul;5,2
20151;Centro-Oeste;7,4
20152;Norte;8,7
20152;Nordeste;10,4
20152;Sudeste;8,4
20152;Sul;5,6
20152;Centro-Oeste;7,5
20153;Norte;9,0
20153;Nordeste;10,9
20153;Sudeste;9,2
20153;Sul;6,1
20153;Centro-Oeste;7,7
20154;Norte;8,8
20154;Nordeste;10,6
20154;Sudeste;9,7
20154;Sul;5,8
20154;Centro-Oeste;7,5
20161;Norte;10,7
20161;Nordeste;13,0
20161;Sudeste;11,6
20161;Sul;7,5
20161;Centro-Oeste;9,8
20162;Norte;11,4
20162;Nordeste;13,4
20162;Sudeste;11,8
20162;Sul;8,2
20162;Centro-Oeste;9,8
20163;Norte;11,6
20163;Nordeste;14,3
20163;Sudeste;12,4
20163;Sul;8,0
20163;Centro-Oeste;10,1
20164;Norte;12,9
20164;Nordeste;14,5
20164;Sudeste;12,5
20164;Sul;7,8
20164;Centro-Oeste;11,0
20171;Norte;14,4
20171;Nordeste;16,4
20171;Sudeste;14,3
20171;Sul;9,4
20171;Centro-Oeste;12,2
20172;Norte;12,6
20172;Nordeste;16,0
20172;Sudeste;13,7
20172;Sul;8,5
20172;Centro-Oeste;10,7
20173;Norte;12,4
20173;Nordeste;15,0
20173;Sudeste;13,3
20173;Sul;8,0
20173;Centro-Oeste;9,7
20174;Norte;11,4
20174;Nordeste;14,0
20174;Sudeste;12,7
20174;Sul;7,7
20174;Centro-Oeste;9,4
20181;Norte;12,9
20181;Nordeste;16,0
20181;Sudeste;13,9
20181;Sul;8,5
20181;Centro-Oeste;10,6
20182;Norte;12,2
20182;Nordeste;15,0
20182;Sudeste;13,3
20182;Sul;8,2
20182;Centro-Oeste;9,5
20183;Norte;11,7
20183;Nordeste;14,6
20183;Sudeste;12,6
20183;Sul;7,9
20183;Centro-Oeste;9,0
20184;Norte;11,8
20184;Nordeste;14,5
20184;Sudeste;12,3
20184;Sul;7,4
20184;Centro-Oeste;8,5
20191;Norte;13,2
20191;Nordeste;15,4
20191;Sudeste;13,3
20191;Sul;8,2
20191;Centro-Oeste;10,9
20192;Norte;12,0
20192;Nordeste;14,8
20192;Sudeste;12,5
20192;Sul;8,1
20192;Centro-Oeste;10,4
20193;Norte;11,9
20193;Nordeste;14,6
20193;Sudeste;12,0
20193;Sul;8,2
20193;Centro-Oeste;10,2
20194;Norte;10,7
20194;Nordeste;13,8
20194;Sudeste;11,5
20194;Sul;6,8
20194;Centro-Oeste;9,5
20201;Norte;12,1
20201;Nordeste;15,8
20201;Sudeste;12,5
20201;Sul;7,7
20201;Centro-Oeste;10,7
20202;Norte;12,0
20202;Nordeste;16,5
20202;Sudeste;14,2
20202;Sul;9,1
20202;Centro-Oeste;12,7
20203;Norte;13,3
20203;Nordeste;18,3
20203;Sudeste;15,7
20203;Sul;9,6
20203;Centro-Oeste;12,9
20204;Norte;12,6
20204;Nordeste;17,6
20204;Sudeste;15,1
20204;Sul;8,4
20204;Centro-Oeste;12,1
20211;Norte;15,0
20211;Nordeste;18,9
20211;Sudeste;15,3
20211;Sul;8,7
20211;Centro-Oeste;12,8
20212;Norte;14,1
20212;Nordeste;18,4
20212;Sudeste;14,6
20212;Sul;8,2
20212;Centro-Oeste;11,6
20213;Norte;12,0
20213;Nordeste;16,4
20213;Sudeste;13,1
20213;Sul;7,5
20213;Centro-Oeste;9,8
20214;Norte;11,2
20214;Nordeste;14,7
20214;Sudeste;11,2
20214;Sul;6,7
20214;Centro-Oeste;8,4
